"year","A","C","I","K","pct_AV","adoption","r","s","i","scenario"
0,98,512539,6983872,0.01,0.00019120496196387,0,0,0,0,"No Policy"
1,5754.84,503631.27,6634678.4,0.512499979166875,0.0114266931836858,0.21,0,0,0,"No Policy"
2,24568.1256381306,495347.0811,6302944.48,1,0.0495978003616637,0.712499979166875,0,0,0,"No Policy"
3,44567.3878390178,487642.785423,5987797.256,1,0.0913935142101166,0.805303336876393,0,0,0,"No Policy"
4,63137.8763565784,480477.79044339,5688407.3932,1,0.131406440864445,0.804234544541781,0,0,0,"No Policy"
5,80379.1865201665,473814.345112353,5403987.02354,1,0.169642788044137,0.803150222786378,0,0,0,"No Policy"
6,96383.9365276097,467617.340954488,5133787.672363,1,0.206117113473323,0.802050169219684,0,0,0,"No Policy"
7,111238.255807295,461854.127087674,4877098.28874485,1,0.240851492458741,0.800934180074826,0,0,0,"No Policy"
8,125022.239196338,456494.338191536,4633243.37430761,1,0.273874676500107,0.799802050261519,0,0,0,"No Policy"
9,137810.369327796,451509.734518129,4401581.20559223,1,0.30522125835199,0.798653573422408,0,0,0,"No Policy"
10,149671.909452399,446874.05310186,4181502.14531261,1,0.334930856722359,0.797488541992898,0,0,0,"No Policy"
11,160671.268764457,442562.86938473,3972427.03804698,1,0.363047331530161,0.796306747264598,0,0,0,"No Policy"
12,170868.342156778,438553.468527799,3773805.68614463,1,0.389618038435255,0.795107979452471,0,0,0,"No Policy"
13,180318.826194648,434824.725730853,3585115.4018374,1,0.414693129263908,0.793892027765814,0,0,0,"No Policy"
14,189074.512973654,431356.994929693,3405859.63174553,1,0.438324903029498,0.792658680483166,0,0,0,"No Policy"
15,197183.563409591,428132.005284614,3235566.65015825,1,0.460567210523089,0.791407725031268,0,0,0,"No Policy"
16,204690.761400318,425132.764914691,3073788.31765034,1,0.481474913939866,0.790138948068172,0,0,0,"No Policy"
17,211637.750198636,422343.471370663,2920098.90176782,1,0.501103401721333,0.788852135570623,0,0,0,"No Policy"
18,218063.25224154,419749.428374717,2774093.95667943,1,0.519508157726118,0.78754707292581,0,0,0,"No Policy"
19,224003.273594027,417336.968388486,2635389.25884546,1,0.536744382983846,0.786223545027608,0,0,0,"No Policy"
20,229491.294084544,415093.380601292,2503619.79590319,1,0.552866667620932,0.784881336377396,0,0,0,"No Policy"
21,234558.444133809,413006.843959202,2378438.80610803,1,0.567928710055418,0.78352023118959,0,0,0,"No Policy"
22,239233.66920859,411066.364882058,2259516.86580263,1,0.58198308021925,0.782140013501958,0,0,0,"No Policy"
23,243543.882766823,409261.719340314,2146541.0225125,1,0.595081023359305,0.78074046729084,0,0,0,"No Policy"
24,247514.108499814,407583.398986492,2039213.97138687,1,0.60727230087214,0.77932137659137,0,0,0,"No Policy"
25,251167.612620874,406022.561057437,1937253.27281753,1,0.618605064621871,0.77788252562278,0,0,0,"No Policy"
26,254526.026897255,404570.981783417,1840390.60917665,1,0.629125761257671,0.776423698918899,0,0,0,"No Policy"
