origin,destination,dist_km,total_veh,n_av,n_normal,av_fraction,E_eff,ground_max,domain_max,ground_mean
2108,2109,1.194102859,366.666666666667,0,366.666666666667,0,7.07304526748972e-10,4.84366874138966e-09,4.84366874138966e-09,3.13877814336718e-09
2108,2110,1.060104309,196.451579563854,0,196.451579563854,0,3.78957522306817e-10,2.59512647762745e-09,2.59512647762745e-09,1.68168524772268e-09
2108,2111,0.891136501,293.82995951417,0,293.82995951417,0,5.66801619433198e-10,3.63147068390405e-09,3.63147068390405e-09,2.39493507315673e-09
2108,2114,0.714440978,1032.12948957297,0,1032.12948957297,0,1.99099052772564e-09,1.10968122222343e-08,1.10968122222343e-08,7.26895808057298e-09
2108,2116,1.060113653,132373.00969944,0,132373.00969944,0,2.55349169944907e-07,1.74864820714049e-06,1.74864820714049e-06,1.13315320804454e-06
2108,2203,0.682207211,220368.702828243,0,220368.702828243,0,4.2509394835695e-07,2.32626170672156e-06,2.32626170672156e-06,1.51902139478379e-06
2109,2108,1.194102859,568.958958324982,0,568.958958324982,0,1.09752885479356e-09,7.51595105883365e-09,7.51595105883365e-09,4.87046166235475e-09
2109,2110,0.603499322,294.677369345782,0,294.677369345782,0,5.68436283460228e-10,2.87272387867276e-09,2.87272387867276e-09,1.84140727237449e-09
2109,2113,0.262455142,132600.587049168,0,132600.587049168,0,2.5578816946213e-07,7.60828218394229e-07,7.60828218394229e-07,3.75024564974444e-07
2109,2203,0.512428871,220548.981919213,0,220548.981919213,0,4.25441708949099e-07,1.91406185634696e-06,1.91406185634696e-06,1.1796402843242e-06
2110,2108,1.060104309,455.348869027586,0,455.348869027586,0,8.78373589945189e-10,6.01516113637105e-09,6.01516113637105e-09,3.89792475739295e-09
2110,2109,0.603499322,366.666666666667,0,366.666666666667,0,7.07304526748972e-10,3.57452657862801e-09,3.57452657862801e-09,2.29126066937647e-09
2110,2111,1.025019777,293.82995951417,0,293.82995951417,0,5.66801619433198e-10,3.88149542777066e-09,3.88149542777066e-09,2.51527378578965e-09
2110,2113,0.855902515,132495.583877817,0,132495.583877817,0,2.55585617048258e-07,1.593944400461e-06,1.593944400461e-06,1.05272292166106e-06
2110,2127,2.811209001,214.144710182223,0,214.144710182223,0,4.13087789703362e-10,2.82885283320977e-09,2.82885283320977e-09,1.8331438250118e-09
2110,2128,3.397016429,330093.69777588,0,330093.69777588,0,6.36754818240509e-07,4.36053961540025e-06,4.36053961540025e-06,2.82570241047868e-06
2111,2108,0.891136501,581.353516359986,0,581.353516359986,0,1.12143811026232e-09,7.1849999745993e-09,7.1849999745993e-09,4.73846822337523e-09
2111,2110,1.025019777,235.741895476625,0,235.741895476625,0,4.54749026768181e-10,3.11415177315293e-09,3.11415177315293e-09,2.01802229726722e-09
2111,2116,1.26381351,264158.533225529,0,264158.533225529,0,5.09565071808505e-07,3.48953571860683e-06,3.48953571860683e-06,2.26127735583333e-06
2111,2118,1.636543894,430.811832083474,0,430.811832083474,0,8.31041342753615e-10,5.69102673950055e-09,5.69102673950055e-09,3.68788026122067e-09
2111,2127,2.385681299,257.726031900682,0,257.726031900682,0,4.97156697339279e-10,3.40456233970835e-09,3.40456233970835e-09,2.20621318883622e-09
2113,2109,0.262455142,165183.333333333,0,165183.333333333,0,3.18640689300411e-07,9.47779674322401e-07,9.47779674322401e-07,4.67175968846893e-07
2113,2111,1.719992713,165074.078272605,0,165074.078272605,0,3.18429934939439e-07,2.18062950802562e-06,2.18062950802562e-06,1.41308429705055e-06
2113,2114,0.928678339,166079.77744222,0,166079.77744222,0,3.20369941053665e-07,2.1035004577273e-06,2.1035004577273e-06,1.38320472720889e-06
2113,2129,1.708088604,165385.051648555,0,165385.051648555,0,3.19029806420824e-07,2.18473746808151e-06,2.18473746808151e-06,1.4157463236931e-06
2114,2108,0.714440978,959.909864141966,0,959.909864141966,0,1.85167797866892e-09,1.0320351874706e-08,1.0320351874706e-08,6.76033834326672e-09
2114,2113,0.928678339,132758.930631478,0,132758.930631478,0,2.56093616187265e-07,1.68147185437948e-06,1.68147185437948e-06,1.10569018851524e-06
2114,2203,0.667789107,220732.315252546,0,220732.315252546,0,4.25795361212473e-07,2.28642773018486e-06,2.28642773018486e-06,1.48747023563236e-06
2115,2116,1.972403126,132297.346341912,0,132297.346341912,0,2.5520321439412e-07,1.74764869375942e-06,1.74764869375942e-06,1.13250550670037e-06
2115,2118,1.999934567,353.150774074384,0,353.150774074384,0,6.81232203075587e-10,4.66512372376815e-09,4.66512372376815e-09,3.02307799357602e-09
2115,2120,0.952875416,132438.278397269,0,132438.278397269,0,2.55475074068806e-07,1.69645762464293e-06,1.69645762464293e-06,1.11328908690178e-06
2115,2130,3.902644454,482.626609593975,0,482.626609593975,0,9.30992688259983e-10,6.37550024359966e-09,6.37550024359966e-09,4.13143050982083e-09
2115,2215,0.907591305,922.341928855714,0,922.341928855714,0,1.77920896770007e-09,1.1543469903233e-08,1.1543469903233e-08,7.60314269476033e-09
2116,2108,1.060113653,165214.580523713,0,165214.580523713,0,3.18700965516422e-07,2.18248554355776e-06,2.18248554355776e-06,1.41428703903656e-06
2116,2111,1.26381351,164890.744939271,0,164890.744939271,0,3.18076282676063e-07,2.17820767365491e-06,2.17820767365491e-06,1.41151490797886e-06
2116,2115,1.972403126,165028.107282793,0,165028.107282793,0,3.18341256332548e-07,2.18002223099008e-06,2.18002223099008e-06,1.41269077140132e-06
2116,2118,1.370015114,165007.32380676,0,165007.32380676,0,3.18301164750694e-07,2.17974768115409e-06,2.17974768115409e-06,1.41251285852773e-06
2118,2111,1.636543894,251.854251012146,0,251.854251012146,0,4.85829959514171e-10,3.32699608094629e-09,3.32699608094629e-09,2.15594895924828e-09
2118,2115,1.999934567,338.684144828442,0,338.684144828442,0,6.53325896659803e-10,4.47401946957223e-09,4.47401946957223e-09,2.89923924897959e-09
2118,2116,1.370015114,132381.057278219,0,132381.057278219,0,2.55364693823725e-07,1.7487545157017e-06,1.7487545157017e-06,1.13322209776558e-06
2118,2119,1.964409789,334.616604634121,0,334.616604634121,0,6.45479561408413e-10,4.42028724058973e-09,4.42028724058973e-09,2.86441986827267e-09
2118,2120,2.237183405,132621.2497677,0,132621.2497677,0,2.55828028101273e-07,1.75192745984683e-06,1.75192745984683e-06,1.13527821850062e-06
2118,2125,2.750825735,349.987257818971,0,349.987257818971,0,6.75129741163139e-10,4.62333365613391e-09,4.62333365613391e-09,2.99599733263418e-09
2118,2127,2.627991548,184.976515783787,0,184.976515783787,0,3.56821982607614e-10,2.443540820163e-09,2.443540820163e-09,1.5834552130319e-09
2119,2118,1.964409789,374.615252429341,0,374.615252429341,0,7.22637446815858e-10,4.94866960429036e-09,4.94866960429036e-09,3.20682045408325e-09
2119,2120,1.305711996,264120.977265061,0,264120.977265061,0,5.09492625897108e-07,3.48903960415654e-06,3.48903960415654e-06,2.26095586539369e-06
