origin,destination,dist_km,total_veh,n_av,n_normal,av_fraction,scenario,E_eff,ground_max,domain_max,ground_mean
2108,2109,1.194102859,366.666666666667,243.449760887241,123.216905779427,0.663953893328837,No Policy,4.25533970166518e-10,2.91408511008516e-09,2.91408511008516e-09,1.88837576221672e-09
2108,2110,1.060104309,196.451579563854,130.434791102021,66.0167884618334,0.663953893328837,No Policy,2.27991328901701e-10,1.56129988052655e-09,1.56129988052655e-09,1.01174836717519e-09
2108,2111,0.891136501,293.82995951417,195.089545596088,98.7404139180823,0.663953893328837,No Policy,3.41003534252541e-10,2.18479322445147e-09,2.18479322445147e-09,1.44085919350141e-09
2108,2114,0.714440978,1029.24903720663,683.373905458299,345.875131748331,0.663953893328837,No Policy,1.19449207934346e-09,6.65751751243243e-09,6.65751751243243e-09,4.36100158760804e-09
2108,2116,1.060113653,132364.366909605,87883.8367476389,44480.5301619661,0.663953893328837,No Policy,1.53615094253514e-07,1.05196644741035e-06,1.05196644741035e-06,6.81691806145252e-07
2108,2203,0.682207211,220368.287648366,146314.382550342,74053.9050980243,0.663953893328837,No Policy,2.55747797295835e-07,1.39954075970078e-06,1.39954075970078e-06,9.13883571532262e-07
2109,2108,1.194102859,562.599486508178,373.540119451909,189.059367056269,0.663953893328837,No Policy,6.52923253929461e-10,4.47126214520463e-09,4.47126214520463e-09,2.8974524567935e-09
2109,2110,0.603499322,294.677369345782,195.652186653032,99.0251826927503,0.663953893328837,No Policy,3.41986993352552e-10,1.72831015645066e-09,1.72831015645066e-09,1.10784155575624e-09
2109,2113,0.262455142,132599.61757439,88040.0323424311,44559.5852319589,0.663953893328837,No Policy,1.53888113751797e-07,4.57731957126978e-07,4.57731957126978e-07,2.25623503369454e-07
2109,2203,0.512428871,220549.189509152,146434.493045121,74114.696464031,0.663953893328837,No Policy,2.55957742442283e-07,1.15155364728019e-06,1.15155364728019e-06,7.09704896624791e-07
2110,2108,1.060104309,449.903834334265,298.715402429807,151.188431904458,0.663953893328837,No Policy,5.22134631320179e-10,3.57561290346464e-09,3.57561290346464e-09,2.31705680750507e-09
2110,2109,0.603499322,366.666666666667,243.449760887241,123.216905779427,0.663953893328837,No Policy,4.25533970166518e-10,2.15053407541553e-09,2.15053407541553e-09,1.37848580413822e-09
2110,2111,1.025019777,293.82995951417,195.089545596088,98.7404139180823,0.663953893328837,No Policy,3.41003534252541e-10,2.33521502704682e-09,2.33521502704682e-09,1.51325829207185e-09
2110,2113,0.855902515,132497.522827371,87972.2461376594,44525.2766897116,0.663953893328837,No Policy,1.53769627979891e-07,9.58975079701922e-07,9.58975079701922e-07,6.33356500648312e-07
2110,2127,2.811209001,209.19219763749,138.893974075427,70.298223562063,0.663953893328837,No Policy,2.4277741742329e-10,1.66255600440382e-09,1.66255600440382e-09,1.07736402453678e-09
2110,2128,3.397016429,330101.530793913,219172.196564428,110929.334229486,0.663953893328837,No Policy,3.83098404427578e-07,2.62348351555325e-06,2.62348351555325e-06,1.70006108133235e-06
2111,2108,0.891136501,579.530456426543,384.781502847041,194.748953579502,0.663953893328837,No Policy,6.72572443515275e-10,4.30913926087554e-09,4.30913926087554e-09,2.84185379679088e-09
2111,2110,1.025019777,235.741895476625,156.521749322425,79.2201461542001,0.663953893328837,No Policy,2.73589594682041e-10,1.87355985663186e-09,1.87355985663186e-09,1.21409804061023e-09
2111,2116,1.26381351,264160.538817253,175390.418211559,88770.1206056945,0.663953893328837,No Policy,3.0657077139336e-07,2.09941716228935e-06,2.09941716228935e-06,1.36045734228166e-06
2111,2118,1.636543894,429.000586220785,284.836609461644,144.163976759141,0.663953893328837,No Policy,4.97875425431711e-10,3.40948423779216e-09,3.40948423779216e-09,2.20940266089844e-09
2111,2127,2.385681299,251.030637164988,166.672768890512,84.3578682744756,0.663953893328837,No Policy,2.91332900907949e-10,1.99506720528458e-09,1.99506720528458e-09,1.29283682944414e-09
2113,2109,0.262455142,165183.333333333,109674.117279702,55509.2160536315,0.663953893328837,No Policy,1.91703053560016e-07,5.70210471451825e-07,5.70210471451825e-07,2.81065986815553e-07
2113,2111,1.719992713,165074.078272605,109601.576956765,55472.5013158397,0.663953893328837,No Policy,1.91576257906146e-07,1.3119270369688e-06,1.3119270369688e-06,8.50150604673416e-07
2113,2114,0.928678339,166070.870055553,110263.400741892,55807.4693136612,0.663953893328837,No Policy,1.9273308181022e-07,1.2654561925305e-06,1.2654561925305e-06,8.3212959671762e-07
2113,2129,1.708088604,165373.79991602,109800.578308826,55573.2216071944,0.663953893328837,No Policy,1.91924099017602e-07,1.31430907618221e-06,1.31430907618221e-06,8.51694205819335e-07
2114,2108,0.714440978,842.662913212695,559.489321991389,283.173591221306,0.663953893328837,No Policy,9.77950077194949e-10,5.45061777955745e-09,5.45061777955745e-09,3.57042287094336e-09
2114,2113,0.928678339,132701.712321409,88107.8185472028,44593.8937742062,0.663953893328837,No Policy,1.54006599523702e-07,1.01118398163599e-06,1.01118398163599e-06,6.64927102030675e-07
2114,2203,0.667789107,220732.522842485,146556.217925564,74176.3049169206,0.663953893328837,No Policy,2.56170509427366e-07,1.37557946789852e-06,1.37557946789852e-06,8.94904084757847e-07
2115,2116,1.972403126,132302.89747638,87843.0238781285,44459.8735982515,0.663953893328837,No Policy,1.5354375607543e-07,1.05147791879193e-06,1.05147791879193e-06,6.81375231451198e-07
2115,2118,1.999934567,353.407751104621,234.646452278502,118.761298826119,0.663953893328837,No Policy,4.10146372950463e-10,2.80870981440724e-09,2.80870981440724e-09,1.82009081281496e-09
2115,2120,0.952875416,132433.906717801,87930.007974032,44503.898743769,0.663953893328837,No Policy,1.53695798482604e-07,1.02060214743757e-06,1.02060214743757e-06,6.69763403639347e-07
2115,2130,3.902644454,454.170766687449,301.548448778275,152.622317909174,0.663953893328837,No Policy,5.27086607678403e-10,3.60952436901778e-09,3.60952436901778e-09,2.33903200287263e-09
2115,2215,0.907591305,941.247460386361,624.944915909405,316.302544476956,0.663953893328837,No Policy,1.09236209652916e-09,7.08722202598662e-09,7.08722202598662e-09,4.66802103914467e-09
