"year","A","C","I","K","pct_AV","adoption","r","s","i","scenario"
0,98,512539,6983872,0.01,0.00019120496196387,0,0,0,0,"No Policy"
1,2886.10227681661,502772.422508651,6842797.7856,0.01,0.00574037506356457,0.21,0,0,0,"No Policy"
2,5548.73995117647,493445.341004412,6704573.27033088,0.01,0.0112448927775505,0.21,0,0,0,"No Policy"
3,8091.55893019014,484537.978167864,6569140.8902702,0.01,0.016699535010209,0.21,0,0,0,"No Policy"
4,10519.9510551482,476031.44665896,6436444.24428674,0.01,0.022099277535093,0.21,0,0,0,"No Policy"
5,12839.0655344831,467907.709067958,6306428.07055215,0.01,0.0274393118250984,0.21,0,0,0,"No Policy"
6,15053.819862248,460149.53966855,6179038.22352699,0.01,0.0327150601369533,0.21,0,0,0,"No Policy"
7,17168.9102452634,452740.487892116,6054221.65141175,0.01,0.0379221887691093,0.21,0,0,0,"No Policy"
8,19188.8215610432,445664.843445621,5931926.37405323,0.01,0.0430566194377964,0.21,0,0,0,"No Policy"
9,21117.8368676129,438907.602999219,5812101.46129736,0.01,0.0481145387396045,0.21,0,0,0,"No Policy"
10,22960.0464853869,432454.438372904,5694697.01177915,0.01,0.0530924056919691,0.21,0,0,0,"No Policy"
11,24719.3566703611,426291.666154774,5579664.13214121,0.01,0.0579869573649751,0.21,0,0,0,"No Policy"
12,26399.4978970115,420406.21868646,5466954.91667196,0.01,0.0627952126386129,0.21,0,0,0,"No Policy"
13,28004.0327684626,414785.61635422,5356522.42735518,0.01,0.0675144741387262,0.21,0,0,0,"No Policy"
14,29536.3635706983,409417.94112693,5248320.67432261,0.01,0.0721423284221473,0.21,0,0,0,"No Policy"
15,30999.7394868335,404291.811284869,5142304.59670129,0.01,0.0766766444967413,0.21,0,0,0,"No Policy"
16,32397.2634867426,399396.3572857,5038430.04384793,0.01,0.0811155707751433,0.21,0,0,0,"No Policy"
17,33731.8989066558,394721.198716494,4936653.7569622,0.01,0.0854575305718088,0.21,0,0,0,"No Policy"
18,35006.4757326729,390256.422282903,4836933.35107156,0.01,0.0897012162615897,0.21,0,0,0,"No Policy"
19,36223.6966015192,385992.560788822,4739227.29737992,0.01,0.0938455822244132,0.21,0,0,0,"No Policy"
20,37386.1425312675,381920.573061976,4643494.90597284,0.01,0.0978898367048708,0.21,0,0,0,"No Policy"
21,38496.2783941771,378031.824782838,4549696.30887219,0.01,0.101833432717712,0.21,0,0,0,"No Policy"
22,39556.4581432557,374318.07017626,4457792.44343297,0.01,0.105676058130534,0.21,0,0,0,"No Policy"
23,40568.9298036258,370771.434526979,4367745.03607563,0.01,0.109417625053512,0.21,0,0,0,"No Policy"
24,41535.8402392793,367384.397481916,4279516.5863469,0.01,0.11305825866305,0.21,0,0,0,"No Policy"
25,42459.2397053283,364149.77710388,4193070.35130269,0.01,0.116598285581858,0.21,0,0,0,"No Policy"
26,43341.0861954051,361060.714642856,4108370.33020638,0.01,0.120038221932497,0.21,0,0,0,"No Policy"
27,44183.2495934285,358110.659992578,4025381.24953621,0.01,0.123378761174952,0.21,0,0,0,"No Policy"
28,44987.5156385408,355293.357801562,3944068.54829558,0.01,0.126620761831599,0.21,0,0,0,"No Policy"
29,45755.5897116231,352602.834209142,3864398.36362001,0.01,0.129765235195142,0.21,0,0,0,"No Policy"
30,46489.1004514167,350033.384178382,3786337.51667488,0.01,0.132813333106894,0.21,0,0,0,"No Policy"
0,98,512539,6983872,0.01,0.00019120496196387,0,10000,500,5e+06,"High Rebates"
1,3019.07905190311,502772.422508651,11842797.7856,0.02,0.00600486207425422,0.22,10000,500,5e+06,"High Rebates"
2,5941.68632155709,493445.341004412,16603573.2703309,0.03,0.0120412248891898,0.23,10000,500,5e+06,"High Rebates"
3,8865.75303916315,484537.978167864,21268181.0902702,0.04,0.0182973336221989,0.24,10000,500,5e+06,"High Rebates"
4,11791.2135295634,476031.44665896,25838563.8322467,0.05,0.0247698205913084,0.25,10000,500,5e+06,"High Rebates"
5,14718.0050729822,467907.709067958,30316624.8428354,0.06,0.031454931790501,0.26,10000,500,5e+06,"High Rebates"
6,17646.0677720337,460149.53966855,34704229.0210101,0.07,0.0383485503098499,0.27,10000,500,5e+06,"High Rebates"
7,20575.3444247143,452740.487892116,39003203.5947857,0.08,0.0454462213452781,0.28,10000,500,5e+06,"High Rebates"
8,23505.7804031108,445664.843445621,43215338.882171,0.09,0.0527431785316019,0.29,10000,500,5e+06,"High Rebates"
9,26437.323537566,438907.602999219,47342389.0367512,0.1,0.0602343713276095,0.3,10000,500,5e+06,"High Rebates"
10,29369.9240060572,432454.438372904,51386072.7782088,0.11,0.067914493181202,0.31,10000,500,5e+06,"High Rebates"
11,32303.5342285527,426291.666154774,55348074.108089,0.12,0.0757780102058675,0.32,10000,500,5e+06,"High Rebates"
12,35238.1087661225,420406.21868646,59230043.0111056,0.13,0.0838191901067078,0.33,10000,500,5e+06,"High Rebates"
