"year","A","C","I","pct_AV","adoption","r","s","i","scenario"
0,1e+07,2.5e+08,0.3,0.04,0,0,0,0.01,"No Policy"
1,12300000,247500000,0.295,0.0496969696969697,0.2,0,0,0.01,"No Policy"
2,14439000,245175000,0.29025,0.0588926277148975,0.2,0,0,0.01,"No Policy"
3,16428270,243012750,0.2857375,0.0676025023378403,0.2,0,0,0.01,"No Policy"
4,18278291.1,241001857.5,0.281450625,0.0758429469781162,0.2,0,0,0.01,"No Policy"
5,19998810.723,239131727.475,0.27737809375,0.083630938203676,0.2,0,0,0.01,"No Policy"
6,21598893.97239,237392506.55175,0.2735091890625,0.0909838911350877,0.2,0,0,0.01,"No Policy"
7,23086971.3943227,235775031.093127,0.269833729609375,0.097919492523378,0.2,0,0,0.01,"No Policy"
8,24470883.3967201,234270778.916608,0.266342043128906,0.104455551434483,0.2,0,0,0.01,"No Policy"
9,25757921.5589497,232871824.392446,0.263024940972461,0.11060986714967,0.2,0,0,0.01,"No Policy"
10,26954867.0498232,231570796.684975,0.259873693923838,0.116400113639943,0.2,0,0,0.01,"No Policy"
11,28068026.3563356,230360840.917026,0.256880009227646,0.121843739780605,0.2,0,0,0.01,"No Policy"
12,29103264.5113921,229235582.052835,0.254036008766264,0.126957884333525,0.2,0,0,0.01,"No Policy"
13,30066035.9955947,228189091.309136,0.25133420832795,0.131759304632416,0.2,0,0,0.01,"No Policy"
14,30961413.475903,227215854.917497,0.248767497911553,0.13626431785381,0.2,0,0,0.01,"No Policy"
15,31794114.5325898,226310745.073272,0.246329123015975,0.140488753736796,0.2,0,0,0.01,"No Policy"
16,32568526.5153085,225468992.918143,0.244012666865176,0.144447917621793,0.2,0,0,0.01,"No Policy"
17,33288729.6592369,224686163.413873,0.241812033521918,0.148156562707063,0.2,0,0,0.01,"No Policy"
18,33958518.5830903,223958131.974902,0.239721431845822,0.151628870466271,0.2,0,0,0.01,"No Policy"
19,34581422.282274,223281062.736659,0.237735360253531,0.154878438226801,0.2,0,0,0.01,"No Policy"
20,35160722.7225148,222651388.345092,0.235848592240854,0.157918272973077,0.2,0,0,0.01,"No Policy"
21,35699472.1319388,222065791.160936,0.234056162628811,0.160760790508551,0.2,0,0,0.01,"No Policy"
22,36200509.0827031,221521185.77967,0.232353354497371,0.163417819181904,0.2,0,0,0.01,"No Policy"
23,36666473.4469139,221014702.775093,0.230735686772502,0.165900607455179,0.2,0,0,0.01,"No Policy"
24,37099820.3056299,220543673.580837,0.229198902433877,0.168219834662505,0.2,0,0,0.01,"No Policy"
25,37502832.8842358,220105616.430178,0.227738957312183,0.170385624376525,0.2,0,0,0.01,"No Policy"
26,37877634.5823393,219698223.280066,0.226352009446574,0.17240755986476,0.2,0,0,0.01,"No Policy"
27,38226200.1615755,219319347.650461,0.225034408974245,0.174294701179297,0.2,0,0,0.01,"No Policy"
28,38550366.1502652,218966993.314929,0.223782688525533,0.17605560348002,0.2,0,0,0.01,"No Policy"
29,38851840.5197467,218639303.782884,0.222593554099256,0.177698336243916,0.2,0,0,0.01,"No Policy"
30,39132211.6833644,218334552.518082,0.221463876394294,0.179230503060772,0.2,0,0,0.01,"No Policy"
0,1e+07,2.5e+08,0.3,0.04,0,5000,2000,0.05,"Baseline"
1,12900000,247500000,0.335,0.0521212121212121,0.24,5000,2000,0.05,"Baseline"
2,15597000,245175000,0.36825,0.0636157846436219,0.24,5000,2000,0.05,"Baseline"
3,18105210,243012750,0.3998375,0.0745031279223004,0.24,5000,2000,0.05,"Baseline"
4,20437845.3,241001857.5,0.429845625,0.0848036837226452,0.24,5000,2000,0.05,"Baseline"
5,22607196.129,239131727.475,0.45835334375,0.0945386727545949,0.24,5000,2000,0.05,"Baseline"
6,24624692.39997,237392506.55175,0.4854356765625,0.10372986391886,0.24,5000,2000,0.05,"Baseline"
7,26500963.9319721,235775031.093127,0.511163892734375,0.112399365654222,0.24,5000,2000,0.05,"Baseline"
8,28245896.456734,234270778.916608,0.535605698097656,0.120569439293103,0.24,5000,2000,0.05,"Baseline"
9,29868683.7047627,232871824.392446,0.558825413192773,0.128262333937087,0.24,5000,2000,0.05,"Baseline"
10,31377875.8454293,231570796.684975,0.580884142533135,0.135500142049929,0.24,5000,2000,0.05,"Baseline"
11,32781424.5362492,230360840.917026,0.601839935406478,0.142304674725757,0.24,5000,2000,0.05,"Baseline"
12,34086724.8187118,229235582.052835,0.621747938636154,0.148697355416907,0.24,5000,2000,0.05,"Baseline"
13,35300654.081402,228189091.309136,0.640660541704346,0.15469913079052,0.24,5000,2000,0.05,"Baseline"
14,36429608.2957038,227215854.917497,0.658627514619129,0.160330397317263,0.24,5000,2000,0.05,"Baseline"
15,37479535.7150045,226310745.073272,0.675696138888173,0.165610942170996,0.24,5000,2000,0.05,"Baseline"
16,38455968.2149542,225468992.918143,0.691911331943764,0.170559897027241,0.24,5000,2000,0.05,"Baseline"
17,39364050.4399074,224686163.413873,0.707315765346576,0.175195703383829,0.24,5000,2000,0.05,"Baseline"
18,40208566.9091139,223958131.974902,0.721949977079247,0.179536088082838,0.24,5000,2000,0.05,"Baseline"
19,40993967.2254759,223281062.736659,0.735852478225285,0.183598047783501,0.24,5000,2000,0.05,"Baseline"
20,41724389.5196926,222651388.345092,0.74905985431402,0.187397841216346,0.24,5000,2000,0.05,"Baseline"
21,42403682.2533141,222065791.160936,0.761606861598319,0.190950988135688,0.24,5000,2000,0.05,"Baseline"
22,43035424.4955821,221521185.77967,0.773526518518403,0.19427227397738,0.24,5000,2000,0.05,"Baseline"
23,43622944.7808914,221014702.775093,0.784850192592483,0.197375759318974,0.24,5000,2000,0.05,"Baseline"
24,44169338.646229,220543673.580837,0.795607682962859,0.200274793328131,0.24,5000,2000,0.05,"Baseline"
25,44677484.940993,220105616.430178,0.805827298814716,0.202982030470656,0.24,5000,2000,0.05,"Baseline"
26,45150060.9951234,219698223.280066,0.81553593387398,0.20550944983095,0.24,5000,2000,0.05,"Baseline"
27,45589556.7254648,219319347.650461,0.824759137180281,0.207868376474121,0.24,5000,2000,0.05,"Baseline"
