zip,lat,lon
02108,42.357,-71.0636
02109,42.3612,-71.0537
02110,42.3575,-71.0506
02111,42.3503,-71.0618
02113,42.3653,-71.0546
02114,42.3615,-71.0668
02115,42.3429,-71.0921
02116,42.3492,-71.0766
02118,42.3389,-71.0716
02119,42.3246,-71.0853
02120,42.3334,-71.0969
02121,42.3097,-71.0833
02122,42.2967,-71.0526
02124,42.285,-71.0713
02125,42.3155,-71.0546
02126,42.2737,-71.0937
02127,42.3345,-71.0365
02128,42.3751,-71.0328
02129,42.3782,-71.0622
02130,42.309,-71.1116
02131,42.2847,-71.1281
02132,42.2802,-71.1626
02134,42.3554,-71.1324
02135,42.3506,-71.1627
02136,42.2536,-71.1312
