"ZIPCODE","Hybrid","Not Advanced","Zero-Emission","TOTAL","modelled"
"02128",55276584.5885974,399055405.543474,57825643.307571,512157633.439642,TRUE
"02136",16581973.8160839,200533759.630629,4651819.022928,221767552.469641,TRUE
"02124",16254626.6936298,190962194.751081,4667138.698163,211883960.142873,TRUE
"02127",12437189.608335,181520124.403986,6188043.38592,200145357.398241,TRUE
"02135",21229551.8221839,158102503.683089,6066618.749104,185398674.254377,TRUE
"02132",14471143.2538289,145003604.230843,7139487.60136915,166614235.086041,TRUE
"02131",14066556.526108,137608007.216923,6840349.12352673,158514912.866558,TRUE
"02130",16703555.0268507,112692984.573659,9763893.36528307,139160432.965793,TRUE
"02125",9437093.13504904,117956389.448626,3578251.746296,130971734.329971,TRUE
"02118",13119241.7702988,100900690.299758,6600967.16475002,120620899.234807,TRUE
"02116",24698511.6501846,83879122.057187,4845479.310439,113423113.017811,TRUE
"02122",8373210.19626722,99208554.7824937,2985834.957953,110567599.936714,TRUE
"02126",6665528.69509236,98881402.9792226,1881214.847109,107428146.521424,TRUE
"02121",8511433.953843,93910124.1246559,1373924.635523,103795482.714022,TRUE
"02119",8541613.06516616,88238700.1000122,2582207.637585,99362520.8027634,TRUE
"02129",7944321.24950627,79548001.0191591,4016971.0221,91509293.2907654,TRUE
"02134",9554108.51967076,60487025.7428026,2670418.00309608,72711552.2655694,TRUE
"",2124775.845776,50199279.7987857,783632.512812,53107688.1573737,FALSE
"02108",5319647.101556,42019297.2057426,3566570.780887,50905515.0881856,TRUE
"02115",4531834.392284,34331807.1942352,2296404.505171,41160046.0916902,TRUE
"02114",3396706.564069,29873460.6644796,2566181.297516,35836348.5260646,TRUE
"02210",2837367.529727,25294292.2691751,2785165.834851,30916825.6337531,TRUE
"02120",2735168.210879,25065930.5118637,966941.950924,28768040.6736667,TRUE
"02215",4103624.921978,23035128.6028783,1529177.937551,28667931.4624073,TRUE
"02111",2885988.866486,16376132.67534,1561030.699153,20823152.240979,TRUE
"02113",1316195.82541637,16957334.2012103,577132.880344,18850662.9069707,TRUE
"02109",1387665.620839,16383794.673823,850027.479547,18621487.774209,TRUE
"02110",2361958.06731651,13393948.7692292,1159201.608432,16915108.4449778,TRUE
"02467",1647420.908581,9573331.15658174,511485.183833,11732237.2489957,FALSE
"02218",0,7127079.02211009,0,7127079.02211009,FALSE
"02199",419938.980663,3539643.303681,233405.609706,4192987.89405,TRUE
"02205",488854.56085,647689.046706,47094.2,1183637.807556,FALSE
"02163",82858.432404,912826.868500004,60685.202979,1056370.503883,FALSE
"02203",0,542875.427107,0,542875.427107,TRUE
"02201",0,156798.739350454,168206.31693737,325005.056287824,FALSE
"02117",34052.29065,181435.338252,6464.88,221952.508902,TRUE
"02137",61878.16,107699.397672,0,169577.557672,FALSE
"02222",0,126000.826098,0,126000.826098,FALSE
"02145",0,107061.94437,0,107061.94437,FALSE
"02301",0,97729.833564,0,97729.833564,FALSE
"02445",6074.677,79547.072,0,85621.749,FALSE
"06037",0,80546.769,0,80546.769,FALSE
"01236",0,78736.74,0,78736.74,FALSE
"02123",7853.168,63332.172,0,71185.34,TRUE
"01960",0,70921.449738,0,70921.449738,FALSE
"02150",1526.154,59075.3,0,60601.454,FALSE
"02133",293.337,59299.688,0,59593.025,TRUE
"66061",0,59123.64,0,59123.64,FALSE
"02026",0,58342.951305,0,58342.951305,FALSE
"02112",0,53494.28288,4757.16,58251.44288,TRUE
"08054",0,56610.108,0,56610.108,FALSE
"02169",0,29919.387404,21754.33082,51673.718224,FALSE
"02860",19583.287,31568.789918,0,51152.076918,FALSE
"02146",36260.925,0,0,36260.925,FALSE
"02081",0,34182.661,0,34182.661,FALSE
"02106",0,31441.314976,0,31441.314976,FALSE
"02139",0,31254.387,0,31254.387,FALSE
"02368",0,30985.252924,0,30985.252924,FALSE
"02174",27112.326,0,0,27112.326,FALSE
"02021",0,26140.223,0,26140.223,FALSE
"01906",0,23569.888,0,23569.888,FALSE
"02151",0,23157.418766,0,23157.418766,FALSE
"02461",21972.927,0,0,21972.927,FALSE
"02072",0,21442.1125,0,21442.1125,FALSE
"02216",0,21179.393,0,21179.393,FALSE
"02302",0,21030.88469,0,21030.88469,FALSE
"02446",0,20524.608,0,20524.608,FALSE
"02196",0,19908.930039,0,19908.930039,FALSE
"02905",0,19529.234,0,19529.234,FALSE
"01247",0,19180.8,0,19180.8,FALSE
"45014",0,18625.22,0,18625.22,FALSE
"01701",0,18274.84803,0,18274.84803,FALSE
"02189",0,17010.83806,0,17010.83806,FALSE
"01864",0,16916.328,0,16916.328,FALSE
"02360",0,16545.27,0,16545.27,FALSE
"02639",0,16523.55,0,16523.55,FALSE
"02171",0,15951.319616,0,15951.319616,FALSE
"02909",12088.248485,3564.096922,0,15652.345407,FALSE
"02148",0,14585.694,0,14585.694,FALSE
"37128",0,0,14554.224,14554.224,FALSE
"03063",0,14544.192,0,14544.192,FALSE
"02219",0,14343.237,0,14343.237,FALSE
"02649",0,14198.855,0,14198.855,FALSE
"03079",0,14078.526,0,14078.526,FALSE
"02138",0,13829.778,0,13829.778,FALSE
"10023",0,13738.53469,0,13738.53469,FALSE
"01854",0,13700.289,0,13700.289,FALSE
"02186",0,13559.115,0,13559.115,FALSE
"02474",0,0,13303.375,13303.375,FALSE
"02035",0,13102.792265,0,13102.792265,FALSE
"01902",0,13060.815,0,13060.815,FALSE
"01851",0,12399.771,0,12399.771,FALSE
"33432",0,12248.906228,0,12248.906228,FALSE
"01930",0,12135.639,0,12135.639,FALSE
"99163",0,11917.25,0,11917.25,FALSE
"02780",0,11856.014,0,11856.014,FALSE
"01887",0,11740.528,0,11740.528,FALSE
"02143",0,11671.655,0,11671.655,FALSE
"01890",11664.992,0,0,11664.992,FALSE
"02458",9436.387,2159.262,0,11595.649,FALSE
"94028",11525.234172,0,0,11525.234172,FALSE
"02494",0,11264.526,0,11264.526,FALSE
"01453",0,5775.397932,5356.27434,11131.672272,FALSE
"02100",0,10962.365465,0,10962.365465,FALSE
"02906",0,10639.058,0,10639.058,FALSE
"01824",0,10525.908761,0,10525.908761,FALSE
"94087",0,10322.052,0,10322.052,FALSE
"02315",5937.229,4309.709818,0,10246.938818,FALSE
"02718",0,10108.102,0,10108.102,FALSE
"11963",0,9823.413,0,9823.413,FALSE
"02895",9543.688,0,0,9543.688,FALSE
"01730",0,9537.815,0,9537.815,FALSE
"02738",0,9495.58669,0,9495.58669,FALSE
"01844",0,9490.274,0,9490.274,FALSE
"02563",0,9407.244,0,9407.244,FALSE
"60619",9366.934,0,0,9366.934,FALSE
"19355",0,9359.243,0,9359.243,FALSE
"07039",0,9332.686,0,9332.686,FALSE
"02180",0,9287.731874,0,9287.731874,FALSE
"07020",4570.351482,0,4648.84188,9219.193362,FALSE
"30354",0,9173.345,0,9173.345,FALSE
"02048",0,9109.52236,0,9109.52236,FALSE
"29455",0,9105.3571,0,9105.3571,FALSE
"01235",0,8991.949,0,8991.949,FALSE
"06074",0,8950.4,0,8950.4,FALSE
"01940",0,8900.809,0,8900.809,FALSE
"02459",0,8886.286,0,8886.286,FALSE
"08933",0,8776.12716,0,8776.12716,FALSE
"60202",0,0,8758.6876,8758.6876,FALSE
"10014",0,8730.456,0,8730.456,FALSE
"44060",0,8679.335,0,8679.335,FALSE
"02903",0,6964.758,1583.30122,8548.05922,FALSE
"21127",0,8272.867308,0,8272.867308,FALSE
"06102",8181.004,0,0,8181.004,FALSE
"02411",0,7971.937,0,7971.937,FALSE
"14610",0,7958.558,0,7958.558,FALSE
"33401",3742.389257,4058.387736,0,7800.776993,FALSE
"01702",0,7620.575,0,7620.575,FALSE
"60647",0,2965.744884,4648.84188,7614.586764,FALSE
"02472",0,6394.17471,1179.0541,7573.22881,FALSE
"40225",0,7508.138,0,7508.138,FALSE
"02655",0,7380.03819,0,7380.03819,FALSE
"06830",0,7309.431936,0,7309.431936,FALSE
"94104",0,7309.431936,0,7309.431936,FALSE
"60607",0,7289.058538,0,7289.058538,FALSE
"01568",0,7009.2,0,7009.2,FALSE
"11249",6967.783,0,0,6967.783,FALSE
"01590",0,6959.97,0,6959.97,FALSE
"05036",0,0,6939.57556,6939.57556,FALSE
"02152",0,6912.9466,0,6912.9466,FALSE
"02864",0,6821.176,0,6821.176,FALSE
"32819",0,6816.010172,0,6816.010172,FALSE
"02314",0,6811.218,0,6811.218,FALSE
"02811",0,6770.75,0,6770.75,FALSE
"33435",0,6752.505518,0,6752.505518,FALSE
"02386",0,6737.034,0,6737.034,FALSE
"30316",0,0,6703.76474,6703.76474,FALSE
"01232",0,6659.79,0,6659.79,FALSE
"02155",0,6651.604,0,6651.604,FALSE
"02043",0,6569.338,0,6569.338,FALSE
"05403",6524.342333,0,0,6524.342333,FALSE
"06443",5729.498597,627.991,0,6357.489597,FALSE
"80238",0,6349.905,0,6349.905,FALSE
"01852",899.806,5416.89,0,6316.696,FALSE
"01109",0,6256.656,0,6256.656,FALSE
"02170",0,6221.339,0,6221.339,FALSE
"01821",0,6190.616,0,6190.616,FALSE
"02364",0,6139.612216,0,6139.612216,FALSE
"08736",3411.204367,2679.576518,0,6090.780885,FALSE
"07017",0,6062.476,0,6062.476,FALSE
"31626",0,5957.505074,0,5957.505074,FALSE
"90807",0,5957.505074,0,5957.505074,FALSE
"33444",0,5905.474462,0,5905.474462,FALSE
"30309",0,4387,1246.42862,5633.42862,FALSE
"94306",5630.14313,0,0,5630.14313,FALSE
"06110",0,5594.019,0,5594.019,FALSE
"30307",0,0,5592.08516,5592.08516,FALSE
"92660",0,0,5592.08516,5592.08516,FALSE
"01213",0,5561.212,0,5561.212,FALSE
"02052",0,5514.795,0,5514.795,FALSE
"33305",5332.076729,0,0,5332.076729,FALSE
"10940",0,3026.94,2283.716,5310.656,FALSE
"02521",0,5260.764,0,5260.764,FALSE
"61265",0,5255.091812,0,5255.091812,FALSE
"01841",0,5216.639,0,5216.639,FALSE
"78749",0,5136.645,0,5136.645,FALSE
"72712",5089.5,0,0,5089.5,FALSE
"02835",0,2590.224,2459.16998,5049.39398,FALSE
"52340",0,5046.969364,0,5046.969364,FALSE
"94107",0,4904.818796,0,4904.818796,FALSE
"94115",0,4822.015,0,4822.015,FALSE
"02141",0,4782.706,0,4782.706,FALSE
"92131",0,4776.025,0,4776.025,FALSE
"02633",0,4747,0,4747,FALSE
"33062",0,0,4698.54,4698.54,FALSE
"11218",0,0,4648.84188,4648.84188,FALSE
"33301",0,0,4648.84188,4648.84188,FALSE
"33408",0,0,4567.176,4567.176,FALSE
"10604",0,4552.2,0,4552.2,FALSE
"60015",4534.395,0,0,4534.395,FALSE
"02478",2182.369,2350.736,0,4533.105,FALSE
"11208",0,0,4500.695771,4500.695771,FALSE
"03862",0,4448.617326,0,4448.617326,FALSE
"10036",0,4445.721,0,4445.721,FALSE
"03820",0,4413.792,0,4413.792,FALSE
"02908",0,4370.921202,0,4370.921202,FALSE
"08505",0,4346.152,0,4346.152,FALSE
"02149",0,4329.138,0,4329.138,FALSE
"01843",4271.89,0,0,4271.89,FALSE
"20024",0,2408.102196,1856.930423,4265.032619,FALSE
"27603",0,4214.479572,0,4214.479572,FALSE
"97212",0,4211.684,0,4211.684,FALSE
"95616",0,0,4210.9075,4210.9075,FALSE
"02343",0,4174.14,0,4174.14,FALSE
"98117",0,0,4118.626,4118.626,FALSE
"06824",0,4086.598,0,4086.598,FALSE
"02184",0,4081.283,0,4081.283,FALSE
"10976",0,4058.552,0,4058.552,FALSE
"02024",0,4011.63413,0,4011.63413,FALSE
"01833",0,3946.36,0,3946.36,FALSE
"44149",3941.100191,0,0,3941.100191,FALSE
"93003",0,3928.311206,0,3928.311206,FALSE
"92020",3808.626235,0,0,3808.626235,FALSE
"11211",0,3772.21937,0,3772.21937,FALSE
"02840",875.8,1222.719382,1510.723056,3609.242438,FALSE
"10523",0,3590.112228,0,3590.112228,FALSE
"30338",0,3590.112228,0,3590.112228,FALSE
"19103",0,3558.328,0,3558.328,FALSE
"02910",0,3538.081616,0,3538.081616,FALSE
"23510",0,3538.081616,0,3538.081616,FALSE
"01107",0,3486.808,0,3486.808,FALSE
"04011",0,3480.356,0,3480.356,FALSE
"01880",0,3409.128,0,3409.128,FALSE
"27705",3385.88,0,0,3385.88,FALSE
"80516",0,3381.98978,0,3381.98978,FALSE
"27605",0,0,3241.759891,3241.759891,FALSE
"90026",0,0,3241.759891,3241.759891,FALSE
"00221",0,3231.33,0,3231.33,FALSE
"61765",0,3212.65,0,3212.65,FALSE
"02492",0,3195.581,0,3195.581,FALSE
"05655",0,3121.83672,0,3121.83672,FALSE
"02322",0,2991.76019,0,2991.76019,FALSE
"02861",0,2991.76019,0,2991.76019,FALSE
"33137",0,2965.744884,0,2965.744884,FALSE
"02191",0,2964.895,0,2964.895,FALSE
"19112",0,2936.145,0,2936.145,FALSE
"02190",0,2887.698966,0,2887.698966,FALSE
"02771",2875.04,0,0,2875.04,FALSE
"90067",0,0,2868.684,2868.684,FALSE
"07869",0,2861.68366,0,2861.68366,FALSE
"10128",2825.333983,0,0,2825.333983,FALSE
"10025",0,0,2820.68,2820.68,FALSE
"06897",0,0,2772.328,2772.328,FALSE
"06611",0,2757.6,0,2757.6,FALSE
"03894",0,2679.576518,0,2679.576518,FALSE
"48216",0,2679.576518,0,2679.576518,FALSE
"53147",0,2679.576518,0,2679.576518,FALSE
"98226",0,2601.5306,0,2601.5306,FALSE
"11358",0,0,2533.648,2533.648,FALSE
"80108",0,2527.6,0,2527.6,FALSE
"12866",0,2506.896,0,2506.896,FALSE
"03131",0,2486.366665,0,2486.366665,FALSE
"06519",0,2479.925,0,2479.925,FALSE
"02879",2476.12,0,0,2476.12,FALSE
"92024",0,2420.344,0,2420.344,FALSE
"33436",0,2376.374,0,2376.374,FALSE
"03833",0,2367.392846,0,2367.392846,FALSE
"02919",0,2366.988,0,2366.988,FALSE
"98125",0,2341.37754,0,2341.37754,FALSE
"20119",0,2336.712,0,2336.712,FALSE
"33330",0,2208.206,0,2208.206,FALSE
"94601",0,2205.172,0,2205.172,FALSE
"33015",0,2169.102,0,2169.102,FALSE
"07054",0,2160.868704,0,2160.868704,FALSE
"28210",0,2150.616,0,2150.616,FALSE
"12303",0,2107.239786,0,2107.239786,FALSE
"10990",0,2060.949,0,2060.949,FALSE
"18902",0,2024.875,0,2024.875,FALSE
"07059",0,1983.4,0,1983.4,FALSE
"03801",0,0,1954.128,1954.128,FALSE
"07645",0,1951.14795,0,1951.14795,FALSE
"06478",0,0,1856.930423,1856.930423,FALSE
"02878",0,1847.086726,0,1847.086726,FALSE
"44120",0,1779.325,0,1779.325,FALSE
"29464",0,0,1767.811,1767.811,FALSE
"10010",0,1685.266,0,1685.266,FALSE
"01801",0,1683.768,0,1683.768,FALSE
"78045",0,1664.979584,0,1664.979584,FALSE
"02093",0,1650.545,0,1650.545,FALSE
"22201",0,1638.964278,0,1638.964278,FALSE
"84321",0,1638.964278,0,1638.964278,FALSE
"60640",0,0,1636.616644,1636.616644,FALSE
"20910",0,1627.776,0,1627.776,FALSE
"20001",0,1626.56,0,1626.56,FALSE
"02153",0,1608.768,0,1608.768,FALSE
"60654",0,0,1583.30122,1583.30122,FALSE
"84094",1525.468,0,0,1525.468,FALSE
"01217",0,1524.824,0,1524.824,FALSE
"39402",0,1508.887748,0,1508.887748,FALSE
"02451",0,0,1479.249659,1479.249659,FALSE
"28215",0,0,1479.249659,1479.249659,FALSE
"45242",0,0,1479.249659,1479.249659,FALSE
"02453",0,1456.857136,0,1456.857136,FALSE
"53711",0,1456.857136,0,1456.857136,FALSE
"01886",0,0,1452.776,1452.776,FALSE
"07302",0,1427.793382,0,1427.793382,FALSE
"01905",0,1404.826524,0,1404.826524,FALSE
"11368",0,1352.795912,0,1352.795912,FALSE
"10019",0,1343.721742,0,1343.721742,FALSE
"07950",0,1340.393,0,1340.393,FALSE
"01830",0,1335.697,0,1335.697,FALSE
"07936",0,1335.048,0,1335.048,FALSE
"33458",0,1313.559,0,1313.559,FALSE
"10038",0,1294.401,0,1294.401,FALSE
"20007",0,0,1290.409277,1290.409277,FALSE
"01810",0,1284.774,0,1284.774,FALSE
"33327",0,1271.961,0,1271.961,FALSE
"07310",1252.084,0,0,1252.084,FALSE
"02062",0,1222.719382,0,1222.719382,FALSE
"03909",0,1222.719382,0,1222.719382,FALSE
"28203",0,1222.719382,0,1222.719382,FALSE
"53051",0,1222.719382,0,1222.719382,FALSE
"60611",0,1222.719382,0,1222.719382,FALSE
"85260",0,1222.719382,0,1222.719382,FALSE
"98052",0,1222.719382,0,1222.719382,FALSE
"01469",0,1215.48,0,1215.48,FALSE
"06107",0,1185.95,0,1185.95,FALSE
"89113",0,1180.26,0,1180.26,FALSE
"06105",0,1170.72,0,1170.72,FALSE
"02316",0,1170.68877,0,1170.68877,FALSE
"02370",0,1144.497,0,1144.497,FALSE
"20854",1112.302,0,0,1112.302,FALSE
"01970",0,1100.162,0,1100.162,FALSE
"01772",1094.744,0,0,1094.744,FALSE
"11757",0,1084,0,1084,FALSE
"60614",0,1083.679,0,1083.679,FALSE
"77054",0,0,1077.99232,1077.99232,FALSE
"34231",0,1072.806,0,1072.806,FALSE
"01741",0,1066.627546,0,1066.627546,FALSE
"03110",0,1047.213,0,1047.213,FALSE
"29673",0,1045.797,0,1045.797,FALSE
"13207",0,1045.23,0,1045.23,FALSE
