"scenario","total_cost_B","total_cost_d_B","rebate_share","supply_share","infra_share","final_share_AV"
"No Policy",0,0,0,0,0,0.132813333106894
"High Rebates",1.67890047155709,1.67890047155709,0.867291249163078,0.0433645624581539,0.092322327991394,0.251930592902063
"Infra Focus",0.818414353079585,0.818414353079585,0.177916685077447,0.0889583425387236,0.75756247146329,0.251930592902063
"Aggressive",7.04635975171737,7.04635975171737,0.585670093934253,0.244029205805939,0.175977390268469,0.568443286727364
"Moderate Rebate",1.54466261480969,1.54466261480969,0.671485692558522,0.134297138511704,0.200691074560767,0.371047852697233
"Supply Push",3.58726706821243,3.58726706821243,0,0.749112630064514,0.259250282266669,0.543795820233503
"Phaseout",2.67300083907123,2.67300083907123,0.511844761408487,0.347863475671491,0.147773990275756,0.523701523311729
"Ramp-Up",3.28714216311224,3.28714216311224,0.595384380840972,0.263155354611254,0.142068695793141,0.433787031104592
"Pulse",2.73831445304726,2.73831445304726,0.587610592990612,0.259010382356973,0.164334669270444,0.536438156446346
"Adaptive",3.18716839535057,3.18716839535057,0.431400429924975,0.346772571215671,0.223772299273679,0.490582608892887
"Front-Loaded",2.43910636127355,2.43910636127355,0.570593294875372,0.278736768858251,0.167069385111697,0.549532901058509
